,skills
0,material
1,pusher
2,common object request broker architecture
3,data classification
4,api
5,react storybook
6,automatic taxonomy induction
7,eye movement
8,livereload
9,machine learning tools
10,cobol
11,heroku postgres
12,openresty
13,sliding window protocol
14,particle filter
15,certificate authority
16,postgis
17,angular
18,control flow
19,automatic programming
20,data system
21,image meta search
22,twilio
23,cluster analysis
24,data extraction
25,level of detail
26,user profile
27,es6
28,beanstalk
29,signal strength
30,markdown
31,wireless
32,synthetic data
33,telegram bot api
34,key lock
35,grpc
36,thresholding
37,javascript ui libraries
38,algorithm
39,traffic model
40,web forms
41,microservices tools
42,transparency graphic
43,interpolation
44,phalcon
45,sensor fusion
46,correctness
47,generalized linear model
48,docker swarm
49,serverless
50,fuzzy logic
51,puppet labs
52,design
53,integer programming
54,spree
55,intercom
56,multimedia database
57,google cloud datastore
58,application specific integrated circuit
59,greedy algorithm
60,woocommerce
61,arch linux
62,nuxt
63,electronic engineering
64,activemq
65,julia
66,economic policy
67,manufacturing engineering
68,puppeteer
69,timefrequency analysis
70,asynchronous communication
71,finance
72,stereopsis
73,video tracking
74,satisfiability
75,computer security
76,trend analysis
77,medical imaging
78,actuarial science
79,clion
80,shields.io
81,google cloud vision api
82,path analysis statistics
83,microdata html
84,python
85,circumscription
86,shape analysis digital geometry
87,false positive rate
88,random projection
89,source code
90,power management
91,pico 8
92,aws cloudformation
93,tower
94,bulma
95,data access
96,spark
97,graphic design
98,sequential pattern mining
99,knowledge management
100,formal specification
101,clone java method
102,infobox
103,php mvc
104,logical framework
105,construction engineering
106,sma
107,jekyll
108,sonatype nexus
109,cassandra
110,internet privacy
111,jasmine
112,wordpress
113,dyn
114,business process
115,monero
116,transition system
117,lxc
118,multimedia
119,microsoft sql server
120,synchronization
121,classical logic
122,breadth first search
123,postgresql
124,code review
125,multi agent system
126,semantic data model
127,content management
128,load balancing computing
129,human visual system model
130,routing protocol
131,integrated circuit design
132,fragmentation computing
133,babel
134,clicky
135,consistency model
136,formal methods
137,haproxy
138,humancomputer information retrieval
139,access method
140,boolean expression
141,cpp
142,logic in computer science
143,finite state machine
144,redux.js
145,graphical model
146,file system
147,distributed algorithm
148,programming  code analytics
